; BALFIT Input File for 3x3 Tunnel Calibration
; I am a fish
; I am a shoe
;; DATA ORIGIN = 3x3 Tunnel

; header variables
FILE_TYPE,DATA_FOR_ITERATIVE_REGRESSION_ANALYSIS
BALANCE_NAME,StudentTunnel
DESCRIPTION,Data2017

; load and gage output symbols
,,,,N1,N2,S1,S2,RM,AF,rN1,rN2,rS1,rS2,rRM,rAF

; load and gage output units
,,,,lbs,lbs,lbs,lbs,in-lbs,lbs,microV/V,microV/V,microV/V,microV/V,microV/V,microV/V

; load capacities
,,,,200,200,200,200,60,50
; zero load-off averages
;,point id,series,orientation,,,,,,,rN1,rN2,rS1,rS2,rRM,rAF
,NZ-0001,A,0,,,,,,,0.6572593387804533,0.9943606100584331,-0.4530814760609677,0.7163839120613901,-0.02281560395893298,-1.0416582791428817
,NZ-0002,A,90,,,,,,,0.6768626868724823,1.009899803996086,-0.4334098041057587,0.731683748960495,-0.022091022133827208,-1.0307277470827103
,NZ-0003,A,180,,,,,,,0.6958050445506447,1.0242423195587962,-0.4522835706409655,0.7172968230749431,-0.023954601664292186,-1.0300428177181042
,NZ-0004,A,270,,,,,,,0.6766683757305145,1.0094512403011322,-0.4716770574450493,0.7024309858679771,-0.024531327188014984,-1.038559004664421
; data for analysis (series 1 = load series number and series 2 = natural zero series number)
;,point id,series 1,series 2,N1(indep.),N2(indep.),S1(indep.),S2(indep.),RM(indep.),AF(indep.),rN1(dep.),rN2(dep.),rS1(dep.),rS2(dep.),rRM(dep.),rAF(dep.)
,P-0001,1,A,0.0,0.0,0.0,0.0,0.0,-0.0,0.6177730668674816,1.0130099816755815,-0.4548601345582442,0.7131259007887407,-0.02033125270496715,-0.8989932320334695
,P-0002,1,A,0.0,0.0,0.0,0.0,0.0,10.584307917046212,0.6294999613481409,1.0306147687575395,-0.4515257057021646,0.7127789644634023,-0.04786644963657155,0.5248860050650204
,P-0003,1,A,0.0,0.0,0.0,0.0,0.0,19.558869811071983,0.6389819164665378,1.0453185621573,-0.44804814883640837,0.7124406731858546,-0.07003482020631129,1.7377277758656715
,P-0004,1,A,0.0,0.0,0.0,0.0,0.0,29.275070148108636,0.6504798287695105,1.060805236751383,-0.4440374428575689,0.7126066576350819,-0.08718122948299754,3.0619910684498874
,P-0005,1,A,0.0,0.0,0.0,0.0,0.0,20.58348685038989,0.6400535024445633,1.046961233533662,-0.4461274352566949,0.7116030125782408,-0.06741885892276106,1.8999392410804485
,P-0006,1,A,0.0,0.0,0.0,0.0,0.0,11.264784275136854,0.6310592624876235,1.0314412315686543,-0.44982702864540947,0.7117556002404954,-0.04665127727720472,0.64812833070755
,P-0007,1,A,0.0,0.0,0.0,0.0,0.0,0.0013895712053229037,0.6194078161361369,1.0125596523284912,-0.4547771139347807,0.7134464674807609,-0.02153819165331252,-0.8666809315377093
,P-0008,2,A,0.0,0.0,0.0,0.0,0.0,0.0,0.6803645278726306,0.9913282692432404,-0.4487026716981615,0.7124286123684475,-0.013466860566820418,-1.0391770069088255
,P-0009,2,A,9.391975396926082,0.0,0.0,0.0,0.0,0.0,1.0355590639575836,0.9772473439093559,-0.45281475974667457,0.7120895712606369,-0.13343216911438974,-1.0035096483845865
,P-0010,2,A,23.78633820015538,0.0,0.0,0.0,0.0,0.0,1.5623049693448203,0.9656583666801453,-0.463654671396528,0.7145315153258187,-0.32429331115313936,-0.9812438786029816
,P-0011,2,A,48.40317693527068,0.0,0.0,0.0,0.0,0.0,2.474657344818115,0.9483605682849884,-0.47982522249221804,0.7176774382591248,-0.62420933842659,-0.9900558829307556
,P-0012,2,A,26.355076257433346,0.0,0.0,0.0,0.0,0.0,1.6682972359657287,0.9635097670555115,-0.46596028804779055,0.7153732180595398,-0.3499734807014465,-0.9853628754615784
,P-0013,2,A,11.352253685591368,0.0,0.0,0.0,0.0,0.0,1.1140324226741134,0.974044943677968,-0.45419379966012363,0.7124637673641073,-0.1531513970473717,-0.9988370332224615
,P-0014,2,A,0.03981646049135268,0.0,0.0,0.0,0.0,0.0,0.6856864203106273,0.9906345280733976,-0.44803654063831677,0.7125775759870355,-0.010668310252102938,-1.037431689825925
,P-0015,3,A,0.0,0.0,0.0,0.0,0.0,0.0,0.6594538220337459,1.0162565473999297,-0.44874861410685946,0.7145439301218305,0.011740539755140032,-1.0391783927168166
,P-0016,3,A,0.0,8.564154895180874,0.0,0.0,0.0,0.0,0.6645602813133826,1.3241528845750368,-0.44783655496744007,0.7165725850141965,0.11956831812858582,-1.026680121055016
,P-0017,3,A,0.0,24.21162675059847,0.0,0.0,0.0,0.0,0.6717047507946308,1.8893132026378925,-0.44875648388495815,0.7192386595102457,0.2450111760542943,-1.013335911127237
,P-0018,3,A,0.0,51.16244909286616,0.0,0.0,0.0,0.0,0.6845362424850464,2.859030854701996,-0.45051761865615847,0.7149302899837494,0.40578263998031616,-1.0034639656543731
,P-0019,3,A,0.0,10.967563707431093,0.0,0.0,0.0,0.0,0.6687012648582459,1.4170411133766174,-0.44721246242523194,0.7150783824920655,0.12223456621170044,-1.0175165605545045
